date	predicted_running
2025-10-22	2135.8691059858565
2025-10-24	2135.8691059858565
2025-11-24	2135.8691059858565
2025-12-08	2552.5090174614775
2025-12-24	2552.5090174614775
2026-01-22	2668.4169459745626
2026-01-24	2668.4169459745626
2026-01-29	2703.0494165293485
2026-01-30	6166.907222029595
2026-02-24	6166.907222029595
2026-03-09	6564.577959594936
2026-03-24	6564.577959594936
2026-04-22	6673.1876802305305
2026-04-24	6673.1876802305305
2026-05-24	6673.1876802305305
2026-06-08	7089.827591706152
2026-06-24	7089.827591706152
2026-07-22	10333.304456126047
2026-07-24	10333.304456126047
2026-07-29	10367.936926680832
2026-07-31	10827.047614704888
2026-08-24	10827.047614704888
2026-09-07	11224.71835227023
2026-09-24	11224.71835227023
2026-10-22	14283.707750250253
2026-10-24	14283.707750250253
2026-11-24	14283.707750250253
2026-12-07	14700.347661725875
2026-12-24	14700.347661725875
2027-01-22	14792.798823219659
2027-01-24	14792.798823219659
2027-01-29	16965.692069303266
2027-02-24	16965.692069303266
2027-03-08	19366.202472189332
2027-03-24	19366.202472189332
2027-04-22	19469.280230929908
2027-04-24	19469.280230929908
2027-05-24	19469.280230929908
2027-06-07	19885.920142405525
2027-06-24	19885.920142405525
2027-07-22	23397.09127669089
2027-07-24	23397.09127669089
2027-07-30	23856.20196471495
2027-08-24	23856.20196471495
2027-09-07	24216.319458555532
2027-09-24	24216.319458555532
2027-10-22	24319.397217296108
2027-10-24	24319.397217296108
2027-11-24	24319.397217296108
2027-12-07	27841.877167327286
2027-12-24	27841.877167327286
2028-01-24	27912.96132899112
2028-01-31	29243.01777108817
2028-02-24	29243.01777108817
2028-03-07	31315.77155914702
2028-03-24	31315.77155914702
2028-04-24	31418.849317887594
2028-05-24	31418.849317887594
2028-06-07	34751.50888692361
2028-06-24	34751.50888692361
2028-07-24	34822.59304858745
2028-07-31	35281.15939551521
2028-08-24	35281.15939551521
2028-09-07	35603.81297041976
2028-09-24	35603.81297041976
2028-10-23	38002.654308006146
2028-10-24	38002.654308006146
2028-11-24	38002.654308006146
2028-12-07	40176.54575691627
2028-12-24	40176.54575691627
2029-01-22	40247.6299185801
2029-01-24	40247.6299185801
2029-01-31	43310.64587757193
2029-02-24	43310.64587757193
2029-03-07	43633.29945247649
2029-03-24	43633.29945247649
2029-04-23	43717.72413213894
2029-04-24	43717.72413213894
2029-05-24	43717.72413213894
2029-06-07	43944.55913892219
2029-06-24	43944.55913892219
2029-07-23	47462.14810852962
2029-07-24	47462.14810852962
2029-07-31	47914.20333142722
2029-08-24	47914.20333142722
2029-09-07	48236.85690633177
2029-09-24	48236.85690633177
2029-10-22	51814.40907492512
2029-10-24	51814.40907492512
2029-11-24	51814.40907492512
2029-12-07	52041.24408170838
2029-12-24	52041.24408170838
2030-01-24	52041.24408170838
2030-01-31	52493.29930460598
2030-02-24	52493.29930460598
2030-03-07	57874.37294208538
2030-03-24	57874.37294208538
2030-04-23	57943.51518898376
2030-04-24	57943.51518898376
2030-05-24	57943.51518898376
2030-06-07	58170.35019576701
2030-06-24	58170.35019576701
2030-07-24	58170.35019576701
2030-07-31	58622.40541866461
2030-08-24	58622.40541866461
2030-09-09	58834.40605470034
2030-09-24	58834.40605470034
2030-10-22	62573.16997005293
2030-10-24	62573.16997005293
2030-11-24	62573.16997005293
2030-12-09	67353.0950083467
2030-12-24	67353.0950083467
2031-01-24	67353.0950083467
2031-01-31	67805.1502312443
2031-02-24	67805.1502312443
2031-03-07	68017.15086728003
2031-03-24	68017.15086728003
2031-04-22	68079.41257355007
2031-04-24	68079.41257355007
2031-05-24	68079.41257355007
2031-06-09	68198.11169208493
2031-06-24	68198.11169208493
2031-07-24	68198.11169208493
2031-07-31	72797.45618970378
2031-08-24	72797.45618970378
2031-09-08	73009.45682573951
2031-09-24	73009.45682573951
2031-10-22	76184.80384551092
2031-10-24	76184.80384551092
2031-11-24	76184.80384551092
2031-12-08	76303.5029640458
2031-12-24	76303.5029640458
2032-01-24	76303.5029640458
2032-01-30	79843.47230904736
2032-02-24	79843.47230904736
2032-03-08	80055.4729450831
2032-03-24	80055.4729450831
2032-04-24	80055.4729450831
2032-05-24	80055.4729450831
2032-06-07	85760.01293584747
2032-06-24	85760.01293584747
2032-07-24	85760.01293584747
2032-07-30	86191.41855598318
2032-08-24	86191.41855598318
2032-09-07	86403.4191920189
2032-09-24	86403.4191920189
2032-10-24	86403.4191920189
2032-11-24	86403.4191920189
2032-12-24	86403.4191920189
2033-01-24	86403.4191920189
2033-01-31	96027.24993149893
2033-02-24	96027.24993149893
2033-03-07	96239.25056753465
2033-03-24	96239.25056753465
2033-04-24	96239.25056753465
2033-05-24	96239.25056753465
2033-06-24	96239.25056753465
2033-07-24	96239.25056753465
2033-07-29	96521.27927948102
2033-08-24	96521.27927948102
2033-09-07	96733.27991551676
2033-09-24	96733.27991551676
2033-10-24	96733.27991551676
2033-11-24	96733.27991551676
2033-12-24	96733.27991551676
2034-01-24	96733.27991551676
2034-01-31	105593.66871234846
2034-02-24	105593.66871234846
2034-03-07	105805.66934838418
2034-03-24	105805.66934838418
2034-04-24	105805.66934838418
2034-05-24	105805.66934838418
2034-06-24	105805.66934838418
2034-07-24	105805.66934838418
2034-07-31	109324.24932603902
2034-08-24	109324.24932603902
2034-09-07	113457.75562736571
2034-09-24	113457.75562736571
2034-10-24	113457.75562736571
2034-11-24	113457.75562736571
2034-12-24	113457.75562736571
2035-01-24	113457.75562736571
2035-01-31	113468.41758819233
2035-02-24	113468.41758819233
2035-03-07	119092.92917194494
